,movie_id,movie_title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,total_seasons,overall_rating
4679,ts20832,Low Winter Sun,SHOW,"Seemingly the perfect crime, the murder of a cop by a fellow Detroit detective activates forces that will forever alter the detective's life, and pull him into the heart of the Detroit underworld.",2013,TV-14,47,"['drama', 'crime']",['US'],1.0,tt2314792,7.0,5845.0,8.991,6.0,1,6.5
4693,ts80811,The Great Interior Design Challenge,SHOW,"The search for Britain's best amateur interior designers. Working in a variety of architectural styles, the contestants have three days to impress both the judges and the homeowners.",2014,TV-PG,57,"['reality', 'documentation', 'european']",['GB'],4.0,tt4695902,7.3,488.0,0.716,7.0,4,7.15
4699,ts20269,Survivor's Remorse,SHOW,"Cam Calloway is about to find out the price he'll pay for stardom, love and loyalty. A basketball star in his early 20s, Calloway's life changes after he signs a multimillion-dollar contract with a team in Atlanta. He arrives in Georgia bright-eyed and eager to begin his career, joined by cousin and confidant Reggie Vaughn, who tries to keep Cam focused and free from distractions caused by Cam's blunt-but-loyal sister M-Chuck and opportunistic mom Cassie. Feeling a responsibility to support needy family and friends, Cam wrestles with the rewards and pitfalls of sudden wealth and fame.",2014,TV-MA,28,"['drama', 'sport', 'comedy']",['US'],4.0,tt3231022,6.9,2390.0,5.529,7.4,4,7.15
4710,ts35677,Peg + Cat,SHOW,"Meet Peg, a curious and spunky preschooler, and her feline companion, Cat, who will rely on math ""to tackle social and relationship issues and everyday problems like cleaning up a messy bedroom,"" Rotenberg says. Some of their dilemmas may be zany — like how to get 100 chickens back into their coop or how to feed a horde of hungry pirates with just one banana — but it's all solvable via mathematics and a zippy song.",2013,TV-Y,19,"['animation', 'family']",['US'],2.0,tt2402500,7.8,362.0,11.343,7.8,2,7.8
4711,ts41737,Tumble Leaf,SHOW,"Set in a whimsical land and  aimed at preschoolers, a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by these narratives that promote play, the fun of learning and understanding the world around them.",2013,TV-Y,23,"['family', 'fantasy', 'animation']",['US'],4.0,tt2948562,8.7,481.0,1.985,8.8,4,8.75
4713,ts22974,Mind Games,SHOW,"Clark and Ross Edwards are brothers and partners in a unique agency committed to solving clients’ problems using the hard science of psychological manipulation. Clark is a former professor and a world-renowned expert in the field of human behavior. He has a checkered history due to bipolar disorder, which sometimes results in quirky, manic episodes. His older brother Ross is a slick con man who spent time in prison. Each in their own way knows what makes people tick. Drawing from the most cutting edge research in psychology, they can a tailor a plan to influence any situation. It’s a little bit science, a little bit con artistry plus a smattering of Jedi mind tricks. The brothers, along with their team of master manipulators are offering clients an alternative to fate.",2014,TV-PG,43,"['drama', 'thriller']",['US'],1.0,tt2751064,6.3,1589.0,6.955,6.3,1,6.3
4733,ts20118,Storage Wars: Northern Treasures,SHOW,"On a daily basis, high-stakes buyers descend upon repossessed and forgotten storage units. Storage Wars: Northern Treasures follows four teams hoping to score big on a modern treasure hunt.",2013,TV-MA,24,['reality'],['CA'],2.0,tt6904118,5.3,285.0,0.744,4.0,2,4.65
4744,ts20271,Love & Hip Hop Hollywood,SHOW,"Follow the young, hip-hop elite as they strive to either “make” or “maintain” a life in the La La Land of Hollywood! From hip-hop artists, to video vixens, to actors, personal assistants, girlfriends, and co-parents, we take an exclusive look behind the curtain at the lives of the hip-hop couples as they struggle to balance their careers and their personal lives.",2014,TV-14,41,"['reality', 'drama']",['US'],6.0,tt3706642,4.9,396.0,6.052,7.2,6,6.050000000000001
4755,ts11084,Bluestone 42,SHOW,"Bluestone 42 is a comedy drama about a British bomb disposal detachment in Afghanistan. So what’s the average working day for a hero? Make your keen young colleague deal with the boring paperwork? Wind up your fellow employees? Flirt with the new girl on the team? Or deal with an unseen enemy who’s trying to blow you up? Bluestone 42 is a comedy drama about a bunch of soldiers who just happen to be risking their lives diffusing hidden bombs. But who says they can’t have some fun alongside the serious professional stuff? This hilarious and often surprising series follows the adventures of a bunch of diverse characters living and working together at an army base in Afghanistan. This is a show about something easily forgotten; soldiers really enjoy being soldiers, but it’s not just a show for soldiers and it’s not just about the Army: it’s also a show for anybody who has ever fallen in love, experienced status battles at work or had a fear of failure. It is packed with the lively workmate banter and relationship minefields that most people will recognise. Even if they don’t face danger on a daily basis...",2013,TV-14,28,"['war', 'comedy', 'drama', 'european']",['GB'],3.0,tt2708572,7.9,2241.0,6.504,8.3,3,8.100000000000001
4757,ts44098,Yu-Gi-Oh! Arc-V,SHOW,Yu-Gi-Oh! Arc-V is the fourth main spin-off of the Yu-Gi-Oh! series. Yuya Sakaki is a student who is learning to become an entertainment duelist at the You Show Duel School. He gains access to a new power during an exhibition match against the current champion but that is only the beginning of the mysteries in store for him and his friends.,2014,TV-Y7,22,"['scifi', 'comedy', 'animation', 'fantasy']",['JP'],3.0,tt6444610,7.0,6.0,15.008,6.6,3,6.8
4768,ts43880,LoliRock,SHOW,"Follow the journey of young Iris, a spirited teenage girl with a beautiful voice and an unending desire to help others. When Iris sings, strange events happen.",2014,TV-Y,21,"['music', 'family', 'animation', 'action', 'comedy', 'fantasy', 'romance']",['FR'],4.0,tt4506998,7.3,448.0,6.423,9.2,4,8.25
4770,ts3155,Betas,SHOW,"In Silicon Valley, the right algorithm can make you a king. And these four friends think they've finally cracked the code.",2013,TV-MA,26,['comedy'],['US'],1.0,tt3012184,7.0,2880.0,5.651,6.5,1,6.75
4790,ts53534,Ip Man,SHOW,"Grandmaster Ip Man was born in a time of turbulence. He spends his life chasing after the realm of martial arts. His upbringing and experiences would transform him into a legend. From Foshan to Guangzhou to Hong Kong, he meets, one-by-one, the people who will have the most influence on his life, including a revolutionist, his first teacher, and his Wing Chun master.",2013,TV-PG,49,['action'],['CN'],2.0,tt3969094,5.6,174.0,4.393,7.0,2,6.3
4799,ts42500,Mischievous Kiss: Love in Tokyo,SHOW,"At a high school entrance ceremony, high school student Kotoko Aihara, who isn't that smart, notices pretty boy Naoki Irie. She falls in love with him immediately. Kotoko initially doesn't express her feelings to him, but finally has a chance to tell him how she feels. Unfortunately, Naoki turns Kotoko down, saying ""I don't like dumb women."" One day, Kotoko Aihara's house is severely damaged by an earthquake. Until the house is rebuilt, Kotoko Aihara and her father decide to live with her father's friend. When Kotoko Aihara moves to her new temporary house, she is surprised to learn that Naoki Irie lives there as well.",2013,TV-14,48,"['drama', 'romance', 'comedy']",['JP'],2.0,tt2772104,7.4,1290.0,13.444,7.7,2,7.550000000000001
4814,ts21385,James May's Cars of the People,SHOW,"James May takes a look at the 'peoples car'. Covering every form of cars for the masses - from the Beetle to the Kei Car, May looks at the many forms of people's car, their origins and their effect on history. Each episode covers a particular theme; these being cars from dictatorships, microcars and the dream cars we aspire to.",2014,TV-PG,56,"['documentation', 'european']",['GB'],2.0,tt3772506,8.4,1025.0,3.555,8.5,2,8.45
4826,ts5809,Almost Royal,SHOW,"Almost Royal is a tale of two young British aristocrats on their first trip around the United States, interacting with real-life Americans. Currently 50th and 51st in line to the throne, siblings George and Poppy Carlton are the latest Brits on the scene.",2014,TV-MA,22,['comedy'],['GB'],2.0,tt3727552,7.3,1042.0,1.379,7.2,2,7.25
4853,ts34338,Superheroes: A Never-Ending Battle,SHOW,"Examines the dawn of the comic book genre and its powerful legacy, as well as the evolution of the characters who leapt from the pages over the last 75 years and their ongoing worldwide cultural impact. It chronicles how these disposable diversions were subject to intense government scrutiny for their influence on American children and how they were created in large part by the children of immigrants whose fierce loyalty to a new homeland laid the foundation for a multi-billion-dollar industry that is an influential part of our national identity.",2013,TV-PG,56,"['scifi', 'drama', 'documentation', 'history']",['US'],1.0,tt3062328,8.1,742.0,2.481,7.6,1,7.85
4868,ts35628,Some Assembly Required,SHOW,"When fourteen-year-old Jarvis Raines gets a chemistry set from his Aunt Marlene for Christmas, he assumes it's just another boring gift. Boy is he wrong! The contents create a chemical reaction that destroys his houseso much for a Merry Christmas! After getting not even an apology from the manufacturer, Knickknack Toys, Jarvis takes them to court, wins, and ends up owning the company!",2014,TV-G,25,"['comedy', 'documentation', 'reality']",['CA'],4.0,tt1160042,8.5,22.0,16.83,7.1,4,7.8
4937,ts35648,Annedroids,SHOW,Eleven-year old genius and kid-scientist Anne has invented and built her own amazing androids. Nick discovers Anne's secret junkyard laboratory and enlists the help of Shania to befriend Anne and her mechanical companions. Together they help solve Anne's scientific problems through real-life solutions.,2014,TV-Y,23,"['scifi', 'family']",['CA'],4.0,tt3012532,6.4,364.0,3.734,8.7,4,7.55
4969,ts36012,A New Leaf,SHOW,"Kim Seok Joo (Kim Myung Min) is a cold, calculating lawyer who is vying to become successful at all costs. After a fateful accident causes him to lose his memory, Kim Seok Joo must rediscover who he is as a person and choose whether he will fight for justice or fall back into his old ways. Before the accident, he was engaged to the only grandchild of a wealthy family, Yoo Jung Sun (Chae Jung Ahn), but with no memory of her, he begins to fall for Lee Ji Yoon (Park Min Young), an idealistic intern at his law firm. As he regains his memories, will his heart choose new love or old greed?",2014,TV-Y,58,"['drama', 'romance']",['KR'],1.0,tt3718836,6.3,78.0,2.595,7.8,1,7.05
4976,ts20277,One Child,SHOW,"Mei, a young woman who was adopted from China as a baby, is dramatically pulled back into the land of her birth. As she embarks on a dangerous mission to save the brother she never knew, she is forced to confront the truth of who she truly is and what family really means.",2014,TV-MA,51,"['drama', 'comedy']","['GB', 'US']",1.0,tt11161970,6.6,329.0,2.171,6.3,1,6.449999999999999
5010,ts57334,Future Card Buddyfight,SHOW,"It is the year 2030, and the stage is the capital of Japan, Chou-Tokyo. Through ""Buddyfight"", humans have started cultural interactions with residents from other worlds called ""Affinity Dimensions"". Buddyfight is a game with selected humans as the ""Buddyfighter"", and residents from the other world as the partner (known as ""Buddy Monster""). These battles have high significance and sometimes it is even used to decide the fate of a nation, and naturally there are those who seek to use the Buddy Monsters for evil purposes.",2014,TV-PG,24,"['animation', 'action', 'scifi']",['JP'],6.0,tt3411198,6.6,58.0,7.813,8.5,6,7.55
5124,ts35177,Space Racers,SHOW,"Welcome to the fantastic world of Stardust Bay – the imaginative home of the Space Racers!  This animated series geared toward preschool children offers a universe of fun for the entire family!  Enjoy stunning computer-generated imagery, real space sounds and images, and exciting storylines that teach exploration, investigation, observation and teamwork.",2014,TV-Y,19,"['animation', 'family', 'scifi', 'music']",['US'],2.0,tt0412246,7.3,82.0,1.36,7.5,2,7.4
5287,ts8,Better Call Saul,SHOW,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",2015,TV-MA,49,"['comedy', 'drama', 'crime']",['US'],6.0,tt3032476,8.8,404920.0,352.657,8.5,6,8.65
5288,ts36962,Billions,SHOW,"A complex drama about power politics in the world of New York high finance. 

Shrewd, savvy U.S. Attorney Chuck Rhoades and the brilliant, ambitious hedge fund king Bobby ""Axe"" Axelrod are on an explosive collision course, with each using all of his considerable smarts, power and influence to outmaneuver the other. The stakes are in the billions in this timely, provocative series.",2016,TV-MA,57,['drama'],['US'],6.0,tt4270492,8.4,91287.0,73.795,7.7,6,8.05
5289,ts14841,Bosch,SHOW,"Based on Michael Connelly's best-selling novels, these are the stories of relentless LAPD homicide Detective Harry Bosch who pursues justice at all costs. But behind his tireless momentum is a man who is haunted by his past and struggles to remain loyal to his personal code: “Everybody counts or nobody counts.”",2015,TV-MA,46,"['crime', 'drama']",['US'],7.0,tt3502248,8.5,64854.0,63.676,8.0,7,8.25
5290,ts41985,Animal Kingdom,SHOW,"17-year-old Joshua ""J"" Cody moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine ""Smurf"" Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious ""baby"" of the family.",2016,TV-MA,49,"['drama', 'crime']",['US'],6.0,tt5574490,8.2,33214.0,24.672,7.7,6,7.949999999999999
5291,ts37018,The Expanse,SHOW,A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.,2015,TV-14,42,"['drama', 'scifi', 'thriller']",['US'],6.0,tt3230854,8.5,146651.0,47.209,8.0,6,8.25
5292,ts35476,Mr. Robot,SHOW,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.",2015,TV-MA,49,"['crime', 'drama', 'thriller']",['US'],4.0,tt4158110,8.6,373828.0,78.61,8.2,4,8.399999999999999
5294,ts36885,Ash vs Evil Dead,SHOW,"Bruce Campbell reprises his role as Ash Williams, an aging lothario and chainsaw-handed monster hunter who’s spent the last three decades avoiding maturity, and the terrors of the Evil Dead. But when a Deadite plague threatens to destroy all of mankind, he’s forced to face his demons — both metaphorical and literal.",2015,TV-MA,30,"['action', 'scifi', 'comedy', 'horror', 'fantasy', 'thriller']",['US'],3.0,tt4189022,8.4,70087.0,50.633,7.7,3,8.05
5296,ts42047,Fleabag,SHOW,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,2016,TV-MA,25,"['drama', 'comedy', 'european']",['GB'],2.0,tt5687612,8.7,139749.0,21.917,8.2,2,8.45
5298,ts41945,The Night Manager,SHOW,"Former British soldier Jonathan Pine navigates the shadowy recesses of Whitehall and Washington where an unholy alliance operates between the intelligence community and the secret arms trade. To infiltrate the inner circle of lethal arms dealer Richard Onslow Roper, Pine must himself become a criminal.",2016,TV-MA,60,"['drama', 'thriller', 'crime', 'european']",['GB'],1.0,tt1399664,8.1,86638.0,20.901,7.9,1,8.0
5299,ts36929,Unforgotten,SHOW,"London police detectives Cassie Stuart and Sunny Khan investigate historic cold cases involving missing persons, murder and long-hidden secrets.",2015,TV-MA,56,"['crime', 'drama', 'european']",['GB'],4.0,tt4192812,8.4,21087.0,11.583,8.0,4,8.2
5301,ts37927,Preacher,SHOW,"A preacher sets out on a mission to make the almighty himself confess his sin of abandoning the world. With his best friend Cassidy, an alcoholic Irish vampire, his love Tulip, a red blooded gun towing Texan, and the power of genesis, an unholy child born from an angel and a devil, Jesse gives up everything to set the world straight with its creator.",2016,TV-MA,44,"['scifi', 'drama', 'fantasy', 'horror']",['US'],4.0,tt5016504,7.9,73444.0,25.698,7.5,4,7.7
5302,ts21594,Poldark,SHOW,"Britain is in the grip of a chilling recession... falling wages, rising prices, civil unrest - only the bankers are smiling. It's 1783 and Ross Poldark returns from the American War of Independence to his beloved Cornwall to find his world in ruins: his father dead, the family mine long since closed, his house wrecked and his sweetheart pledged to marry his cousin. But Ross finds that hope and love can be found when you are least expecting it in the wild but beautiful Cornish landscape.",2015,TV-14,58,"['drama', 'history', 'romance', 'european']",['GB'],5.0,tt3636060,8.3,30619.0,24.196,7.9,5,8.100000000000001
5303,ts21882,The Man in the High Castle,SHOW,"Explore what it would be like if the Allied Powers had lost WWII, and Japan and Germany ruled the United States. Based on Philip K. Dick's award-winning novel.",2015,TV-MA,55,"['drama', 'scifi', 'thriller']",['US'],4.0,tt1740299,8.0,96965.0,84.623,7.5,4,7.75
5304,ts35222,Travel Man: 48 Hours in...,SHOW,"Richard Ayoade takes a ruthlessly efficient approach to travel, covering everything top tourist destinations have to offer in just 48 hours.",2015,TV-PG,25,"['comedy', 'documentation']",['GB'],11.0,tt4719744,8.2,2590.0,13.58,7.2,11,7.699999999999999
5305,ts37852,River,SHOW,"Respected police officer John River, a gifted cop with a troubled mind, struggles to come to terms with the recent loss of a colleague, and chases a suspect across London - with tragic consequences. Now at odds with the authorities, River ends up in a precarious position as he seeks to bring closure to the mother of murdered teenager, who blames him for failing to keep his promise.",2015,TV-MA,55,"['crime', 'drama']",['GB'],1.0,tt4573010,8.0,23031.0,13.19,7.6,1,7.8
